!THEORY;Falsi Amici 🎭 - Trappole Linguistiche per Italofoni|Queste parole sembrano italiane ma significano cose diverse in tedesco!|⚠️ ATTENZIONE: Non farti ingannare dalle somiglianze!|Impara a riconoscere questi "false friends" per evitare errori imbarazzanti.
La cantina (al ristorante);Die Kantine;⚠️ NON "cantina" (Keller)
Il preservativo;Das Kondom;⚠️ "Präservativ" NON esiste
Il regalo;Das Geschenk;⚠️ "Das Regal" = scaffale
Imbarazzante;Peinlich;⚠️ "Embarassant" NON esiste
La camera (stanza);Das Zimmer;⚠️ "Die Kamera" = macchina fotografica
Il burro;Die Butter;⚠️ "Der Burro" NON esiste
Sensibile (sensitivo);Sensibel;⚠️ Ma = "di buon senso" NON "emotivo"
La marca (brand);Die Marke;⚠️ "Die Marke" = marchio commerciale
Il collega;Der Kollege;✅ Simile ma si scrive così
La firma;Die Firma;⚠️ "Die Firma" = l'azienda, NON la firma (Unterschrift)
Il locale (posto);Das Lokal;✅ Simile - un bar/ristorante
Eventualmente;Eventuell;⚠️ Significa "forse/possibilmente"
Ancora (di nuovo);Noch;⚠️ "Anker" = ancora della nave
La tassa;Die Steuer;⚠️ "Die Tasse" = la tazza
La minestra;Die Suppe;⚠️ "Die Minestra" NON esiste
Il pezzo;Das Stück;⚠️ "Das Pezzo" NON esiste
Il mezzo;Das Mittel;⚠️ "Das Mezzo" NON esiste
L'argomento;Das Thema;⚠️ "Das Argument" = ragionamento logico
Salire;Steigen;⚠️ "Salire" NON esiste
Gentile;Freundlich;⚠️ "Gentil" NON esiste in tedesco
