!THEORY;Pronomi e Verbo Essere (Sein) 🧩|⚠️ Attenzione alla terza persona:|👨 Er = Lui (Maschile)|👩 Sie = Lei (Femminile)|👶 Es = Esso (Neutro)|👥 Sie (maiuscolo) = Lei di cortesia.|Verbo Sein (Essere): Ich bin, Du bist, Er/Sie/Es ist, Wir sind, Ihr seid, Sie sind.
Io;Ich;1ª Persona Singolare
Tu;Du;2ª Persona Singolare (Informale)
Lui (Maschile);Er;3ª Persona (es. Der Mann -> Er)
Lei (Femminile);Sie;3ª Persona (es. Die Frau -> Sie)
Esso (Neutro);Es;3ª Persona (es. Das Kind -> Es)
Noi;Wir;1ª Persona Plurale
Voi;Ihr;2ª Persona Plurale (Amici/Famiglia)
Loro;Sie;3ª Persona Plurale (minuscolo)
Lei (Formale);Sie;Si scrive sempre Maiuscolo!
Chi?;Wer?;Pronome interrogativo soggetto
Io sono;Ich bin;Verbo Sein - 1ª Singolare
Tu sei;Du bist;Verbo Sein - 2ª Singolare
Lui/Lei è;Er/Sie/Es ist;Verbo Sein - 3ª Singolare
Noi siamo;Wir sind;Verbo Sein - 1ª Plurale
Voi siete;Ihr seid;Verbo Sein - 2ª Plurale
Loro sono;Sie sind;Verbo Sein - 3ª Plurale
Io sono italiano;Ich bin Italiener;Nazionalità
Tu sei stanco;Du bist müde;Aggettivo
Lui è a casa;Er ist zu Hause;Luogo
Noi siamo qui;Wir sind hier;Avverbio di luogo
