!THEORY;La regola sociale n.1 in Germania: "Du" vs "Sie".|🤝 Usa 'Du' (informale) con amici, famiglia e bambini.|👔 Usa 'Sie' (formale) con sconosciuti, capi e negozianti.|Nota: 'Sie' formale si scrive sempre maiuscolo!
Ciao (informale);Hallo;Si usa con amici e famiglia
Buongiorno;Guten Morgen;Fino alle 10:00 circa
Buonasera;Guten Abend;Dopo le 18:00
Arrivederci (formale);Auf Wiedersehen;Letteralmente: 'A rivederci'
Arrivederci (informale);Tschüss;Molto comune, si usa ovunque
Come ti chiami?;Wie heißt du?;Usa il verbo heißen (chiamarsi)
Mi chiamo...;Ich heiße...;Verbo heißen
Piacere;Freut mich;Abbreviazione di 'Es freut mich'
Da dove vieni?;Woher kommst du?;'Woher' implica movimento da un luogo
Vengo dall'Italia;Ich komme aus Italien;Usa 'aus' per le nazioni
Parli tedesco?;Sprichst du Deutsch?;Verbo irregolare (e -> i)
Ho 30 anni;Ich bin dreißig Jahre alt;In tedesco 'si è' vecchi, non 'si hanno' anni
