!THEORY;Declinazione degli Aggettivi 📐|3 tipi di declinazione: FORTE (senza articolo), DEBOLE (con articolo determinativo), MISTA (con articolo indeterminativo)|FORTE: aggettivo prende le desinenze dell'articolo|DEBOLE: dopo der/die/das → sempre -e o -en|MISTA: dopo ein/mein → mix delle due
Un uomo vecchio (Nominativo);Ein alter Mann;Decl. Mista: ein + -er (masch. nom.)
L'uomo vecchio;Der alte Mann;Decl. Debole: der + -e
Vino rosso (senza articolo);Roter Wein;Decl. Forte: -er (masch. nom.)
Vedo un uomo vecchio;Ich sehe einen alten Mann;Mista: einen + -en (acc. masch.)
Vedo l'uomo vecchio;Ich sehe den alten Mann;Debole: den + -en (acc. masch.)
Una bella donna;Eine schöne Frau;Mista: eine + -e (femm. nom.)
La bella donna;Die schöne Frau;Debole: die + -e (femm. nom.)
Un bambino piccolo;Ein kleines Kind;Mista: ein + -es (neutro nom.)
Il bambino piccolo;Das kleine Kind;Debole: das + -e (neutro nom.)
Con un buon amico;Mit einem guten Freund;Mista: einem + -en (dat. masch.)
Con il buon amico;Mit dem guten Freund;Debole: dem + -en (dat. masch.)
Acqua fredda;Kaltes Wasser;Forte: -es (neutro nom.)
Con acqua fredda;Mit kaltem Wasser;Forte: -em (dat. neutro)
Il libro di un allievo intelligente;Das Buch eines intelligenten Schülers;Mista: eines + -en (gen. masch.)
Il libro dell'allievo intelligente;Das Buch des intelligenten Schülers;Debole: des + -en (gen. masch.)
Case grandi;Große Häuser;Forte: -e (plurale nom.)
Le case grandi;Die großen Häuser;Debole: die + -en (plurale)
Con case grandi;Mit großen Häusern;Forte: -en (dat. plurale)
Una macchina nuova;Ein neues Auto;Mista: ein + -es (neutro nom.)
L'auto nuova;Das neue Auto;Debole: das + -e (neutro nom.)
