!THEORY;Il Genere in Tedesco - Sistema a Colori 🎨|🔵 DER (Maschile) - Blu: giorni, mesi, stagioni, -er, -en, -ling|🔴 DIE (Femminile) - Rosso: -e, -heit, -keit, -ung, -schaft, -ion|🟡 DAS (Neutro) - Giallo: -chen, -lein, verbi sostantivati, metalli
___ Sonne (il sole);Der;Das;Die;Parola in -e, femminile
___ Tisch (il tavolo);Die;Das;Der;Maschile, parola in -sch
___ Mädchen (la ragazza);Der;Die;Das;Diminutivo -chen = sempre neutro
___ Freiheit (la libertà);Der;Das;Die;Parola in -heit = sempre femminile
___ Junge (il ragazzo);Die;Das;Der;Maschile naturale
___ Auto (l'auto);Der;Die;Das;Parola internazionale, neutro
___ Wohnung (l'appartamento);Der;Das;Die;Parola in -ung = sempre femminile
___ Fenster (la finestra);Die;Das;Der;Parola in -er, maschile
___ Schönheit (la bellezza);Der;Das;Die;Parola in -heit = femminile
___ Kätzchen (il gattino);Der;Die;Das;Diminutivo -chen = neutro
___ Freundschaft (l'amicizia);Der;Das;Die;Parola in -schaft = femminile
___ Lehrling (l'apprendista);Die;Das;Der;Parola in -ling = maschile
___ Information (l'informazione);Der;Das;Die;Parola in -ion = femminile
___ Büchlein (il libretto);Der;Die;Das;Diminutivo -lein = neutro
___ Montag (lunedì);Die;Das;Der;Giorni della settimana = maschili
