!THEORY;Il Caso Accusativo (Oggetto) ➡️|In tedesco il SOGGETTO è Nominativo, l'OGGETTO è Accusativo.|Solo il MASCHILE cambia!|Der -> DEN|Ein -> EINEN|Femminile, Neutro e Plurale restano uguali.|Usalo dopo verbi come Haben (avere), Essen, Trinken, Sehen.
Io ho un cane (Maschile);Ich habe einen Hund;Maschile: Ein -> Einen
Vedo l'uomo (Maschile);Ich sehe den Mann;Maschile: Der -> Den
Tu mangi una mela (Maschile);Du isst einen Apfel;Maschile: Ein -> Einen
Lui beve il vino (Maschile);Er trinkt den Wein;Maschile: Der -> Den
Ho un libro (Neutro);Ich habe ein Buch;Neutro: resta Ein
Vedo la donna (Femminile);Ich sehe die Frau;Femminile: resta Die
Compro un tavolo (Maschile);Ich kaufe einen Tisch;Maschile: Ein -> Einen
Cerchi la chiave? (Maschile);Suchst du den Schlüssel?;Maschile: Der -> Den
Noi abbiamo un problema (Neutro);Wir haben ein Problem;Neutro: resta Ein
Conosci il ragazzo? (Maschile);Kennst du den Jungen?;Maschile: Der -> Den
Mangio un'insalata (Maschile);Ich esse einen Salat;Maschile: Ein -> Einen
Scrivo una lettera (Maschile);Ich schreibe einen Brief;Maschile: Ein -> Einen
