!THEORY;Il Triangolo degli Articoli 🔺|Maschile = Der (spesso parole in -er, -en)|Femminile = Die (spesso parole in -e, -in, -ung)|Neutro = Das (diminutivi -chen, parole internazionali).
La donna (Femminile);Der;Das;Die;Parola che finisce in -e
L'uomo (Maschile);Die;Das;Der;Maschile naturale
Il bambino (Neutro);Der;Die;Das;Neutro generico
Il pane (Neutro);Die;Der;Das;Alimento base spesso neutro
La madre;Der;Das;Die;Femminile naturale
___ chiamo Hans.;Du;Er;Ich;Verbo in -e (1a persona)
Come ti chiami ___?;ich;sie;du;Verbo in -st (2a persona)
Da dove vieni ___?;ihr;du;Sie;Verbo in -st
___ abita a Berlino (Lui).;Sie;Es;Er;3a persona maschile
___ (Loro) bevono acqua.;Er;Ihr;Sie;Plurale (verbo -en)
Noi ___ italiani.;sind;bist;ist;Verbo Sein (Essere)
Voi ___ il calcio (giocate).;spielt;spielen;spiele;2a Plurale (Ihr ...-t)
Io ho ___ cane (Accusativo Maschile).;ein;einem;einen;Hebben regge l'accusativo
