!THEORY;Dire di NO: Nicht vs Kein ⛔|Usa "KEIN" per negare sostantivi indeterminati (un/una).|Es: Ho una mela -> Non ho "nessuna" mela (Ich habe keine Äpfel).|Usa "NICHT" per tutto il resto (verbi, aggettivi, nomi propri).|Es: Io non dormo (Ich schlafe nicht).
Io non dormo;Ich schlafe nicht;Nega il verbo -> Nicht
Non ho tempo (Keine);Ich habe keine Zeit;Nega sostantivo (Tempo) -> Kein
Lui non è stanco;Er ist nicht müde;Nega aggettivo -> Nicht
Non ho fame (Keinen);Ich habe keinen Hunger;Fame è maschile -> Keinen
Questa non è una mela;Das ist kein Apfel;Nega sostantivo -> Kein
Non parlo tedesco;Ich spreche nicht Deutsch;Nega il verbo -> Nicht
Non ho soldi;Ich habe kein Geld;Soldi è neutro -> Kein
Non sono io;Ich bin es nicht;Nicht
Non ho fratelli;Ich habe keine Geschwister;Plurale -> Keine
Lui non abita qui;Er wohnt hier nicht;Nicht
Non è una casa;Das ist kein Haus;Neutro -> Kein
Non mangio carne;Ich esse kein Fleisch;Sostantivo -> Kein
